Year,Price
2000-01,6.93
2000-02,6.96
2000-03,7.03
2000-04,7.05
2000-05,7.25
2000-06,7.7
2000-07,7.76
2000-08,7.93
2000-09,7.73
2000-10,7.67
2000-11,7.34
2000-12,7.52
2001-01,7.25
2001-02,7.51
2001-03,7.7
2001-04,7.73
2001-05,7.77
2001-06,8.13
2001-07,8.41
2001-08,8.35
2001-09,8.22
2001-10,8.27
2001-11,7.73
2001-12,7.66
2002-01,7.49
2002-02,7.68
2002-03,7.72
2002-04,7.68
2002-05,7.84
2002-06,8.18
2002-07,8.33
2002-08,8.24
2002-09,8
2002-10,8
2002-11,7.64
2002-12,7.59
2003-01,7.45
2003-02,7.65
2003-03,7.78
2003-04,7.93
2003-05,8.06
2003-06,8.44
2003-07,8.55
2003-08,8.46
2003-09,8.15
2003-10,8.09
2003-11,7.85
2003-12,7.7
2004-01,7.7
2004-02,7.85
2004-03,7.92
2004-04,7.89
2004-05,7.99
2004-06,8.49
2004-07,8.63
2004-08,8.7
2004-09,8.54
2004-10,8.23
2004-11,8.04
2004-12,7.82
2005-01,7.99
2005-02,8.19
2005-03,8.15
2005-04,8.25
2005-05,8.41
2005-06,8.89
2005-07,9
2005-08,9.1
2005-09,9.18
2005-10,8.91
2005-11,8.79
2005-12,8.79
2006-01,8.87
2006-02,9.14
2006-03,9.06
2006-04,9.17
2006-05,9.22
2006-06,9.88
2006-07,9.97
2006-08,10.04
2006-09,9.89
2006-10,9.51
2006-11,9.24
2006-12,9.08
2007-01,9.12
2007-02,9.34
2007-03,9.35
2007-04,9.38
2007-05,9.51
2007-06,9.95
2007-07,10.14
2007-08,10.07
2007-09,9.9
2007-10,9.77
2007-11,9.5
2007-12,9.42
2008-01,9.39
2008-02,9.46
2008-03,9.62
2008-04,9.79
2008-05,10.05
2008-06,10.87
2008-07,11.1
2008-08,11.07
2008-09,10.77
2008-10,10.41
2008-11,10.16
2008-12,9.92
2009-01,9.96
2009-02,10.2
2009-03,9.96
2009-04,9.87
2009-05,10.11
2009-06,10.46
2009-07,10.56
2009-08,10.52
2009-09,10.45
2009-10,10.13
2009-11,9.78
2009-12,9.7
2010-01,9.55
2010-02,9.89
2010-03,9.95
2010-04,9.95
2010-05,10.15
2010-06,10.56
2010-07,10.72
2010-08,10.62
2010-09,10.52
2010-10,10.25
2010-11,9.99
2010-12,9.82
2011-01,9.78
2011-02,9.99
2011-03,9.93
2011-04,9.96
2011-05,10.19
2011-06,10.66
2011-07,10.67
2011-08,10.72
2011-09,10.59
2011-10,10.25
2011-11,9.98
2011-12,9.77
2012-01,9.84
2012-02,9.94
2012-03,9.84
2012-04,9.82
2012-05,9.96
2012-06,10.39
2012-07,10.39
2012-08,10.39
2012-09,10.5
2012-10,10.08
2012-11,9.89
2012-12,9.81
2013-01,9.77
2013-02,10.06
2013-03,10.02
2013-04,9.96
2013-05,10.22
2013-06,10.65
2013-07,10.7
2013-08,10.69
2013-09,10.53
2013-10,10.28
2013-11,10.03
2013-12,9.96
2014-01,10.35
2014-02,10.68
2014-03,10.65
2014-04,10.46
2014-05,10.54
2014-06,10.96
2014-07,11.17
2014-08,11.05
2014-09,11.16
2014-10,10.83
2014-11,10.52
2014-12,10.36
2015-01,10.31
2015-02,10.62
2015-03,10.63
2015-04,10.37
2015-05,10.47
2015-06,10.89
2015-07,11.07
2015-08,10.94
2015-09,10.98
2015-10,10.73
2015-11,10.3
2015-12,10.13
2016-01,10.02
2016-02,10.2
2016-03,10.16
2016-04,10.13
2016-05,10.25
2016-06,10.59
2016-07,10.62
2016-08,10.71
2016-09,10.7
2016-10,10.47
2016-11,10.24
2016-12,10.08
2017-01,10.19
2017-02,10.48
2017-03,10.48
2017-04,10.4
2017-05,10.58
2017-06,10.99
2017-07,11